time	V(cuadrada)	V(vout)
2.975708719064180e-01	0.000000e+00	3.230554e-02
2.981781539298135e-01	0.000000e+00	3.089837e-02
2.987854359532090e-01	0.000000e+00	2.954527e-02
2.993927179766045e-01	0.000000e+00	2.824624e-02
3.000000000000000e-01	0.000000e+00	2.700128e-02
3.000264032607709e-01	1.000000e+00	2.799375e-02
3.000371362979345e-01	1.000000e+00	2.788507e-02
3.000429808221454e-01	1.000000e+00	2.912600e-02
3.000459135488580e-01	1.000000e+00	2.890643e-02
3.000474996622556e-01	1.000000e+00	2.938564e-02
3.000483712893245e-01	1.000000e+00	2.948457e-02
3.000489471197393e-01	1.000000e+00	2.935537e-02
3.000491306110198e-01	1.000000e+00	2.952681e-02
3.000492201324552e-01	1.000000e+00	2.958773e-02
3.000492646147249e-01	1.000000e+00	2.957922e-02
3.000493069272587e-01	1.000000e+00	2.955858e-02
3.000493533613328e-01	1.000000e+00	2.954238e-02
3.000642205934607e-01	1.000000e+00	3.181500e-02
3.000790878255887e-01	1.000000e+00	3.481308e-02
3.000939550577166e-01	1.000000e+00	3.853660e-02
3.001088222898446e-01	1.000000e+00	4.298557e-02
3.001236895219726e-01	1.000000e+00	4.815999e-02
3.001385567541006e-01	1.000000e+00	5.405986e-02
3.001534239862285e-01	1.000000e+00	6.068518e-02
3.002534239862285e-01	1.000000e+00	1.211613e-01
3.003534239862285e-01	1.000000e+00	2.066832e-01
3.004534239862285e-01	1.000000e+00	3.116878e-01
3.005534239862285e-01	1.000000e+00	4.303727e-01
3.006534239862285e-01	1.000000e+00	5.569230e-01
3.007534239862285e-01	1.000000e+00	6.857061e-01
3.008534239862284e-01	1.000000e+00	8.114598e-01
3.009534239862284e-01	1.000000e+00	9.294387e-01
3.010534239862284e-01	1.000000e+00	1.035546e+00
3.011534239862284e-01	1.000000e+00	1.126418e+00
3.012534239862284e-01	1.000000e+00	1.199491e+00
3.013534239862284e-01	1.000000e+00	1.253019e+00
3.014534239862284e-01	1.000000e+00	1.286084e+00
3.015534239862284e-01	1.000000e+00	1.298550e+00
3.016534239862284e-01	1.000000e+00	1.291018e+00
3.017534239862283e-01	1.000000e+00	1.264739e+00
3.018534239862283e-01	1.000000e+00	1.221531e+00
3.019534239862283e-01	1.000000e+00	1.163662e+00
3.020534239862283e-01	1.000000e+00	1.093743e+00
3.021534239862283e-01	1.000000e+00	1.014607e+00
3.022534239862283e-01	1.000000e+00	9.291992e-01
3.023534239862283e-01	1.000000e+00	8.404583e-01
3.024534239862283e-01	1.000000e+00	7.512235e-01
3.025534239862283e-01	1.000000e+00	6.641356e-01
3.026534239862282e-01	1.000000e+00	5.815688e-01
3.027534239862282e-01	1.000000e+00	5.055611e-01
3.028534239862282e-01	1.000000e+00	4.377770e-01
3.029534239862282e-01	1.000000e+00	3.794713e-01
3.030534239862282e-01	1.000000e+00	3.314845e-01
3.031534239862282e-01	1.000000e+00	2.942380e-01
3.032534239862282e-01	1.000000e+00	2.677596e-01
3.033534239862282e-01	1.000000e+00	2.517047e-01
3.034534239862282e-01	1.000000e+00	2.454050e-01
3.035534239862281e-01	1.000000e+00	2.479087e-01
3.036534239862281e-01	1.000000e+00	2.580427e-01
3.037534239862281e-01	1.000000e+00	2.744631e-01
3.038534239862281e-01	1.000000e+00	2.957219e-01
3.039534239862281e-01	1.000000e+00	3.203177e-01
3.040534239862281e-01	1.000000e+00	3.467596e-01
3.041534239862281e-01	1.000000e+00	3.736100e-01
3.042534239862281e-01	1.000000e+00	3.995379e-01
3.043534239862281e-01	1.000000e+00	4.233491e-01
3.044534239862280e-01	1.000000e+00	4.440246e-01
3.045534239862280e-01	1.000000e+00	4.607346e-01
3.046534239862280e-01	1.000000e+00	4.728603e-01
3.047534239862280e-01	1.000000e+00	4.799913e-01
3.048534239862280e-01	1.000000e+00	4.819309e-01
3.049534239862280e-01	1.000000e+00	4.786794e-01
3.050534239862280e-01	1.000000e+00	4.704261e-01
3.051534239862280e-01	1.000000e+00	4.575203e-01
3.052534239862280e-01	1.000000e+00	4.404547e-01
3.053534239862279e-01	1.000000e+00	4.198294e-01
3.054534239862279e-01	1.000000e+00	3.963304e-01
3.055534239862279e-01	1.000000e+00	3.706915e-01
3.056534239862279e-01	1.000000e+00	3.436728e-01
3.057534239862279e-01	1.000000e+00	3.160249e-01
3.058534239862279e-01	1.000000e+00	2.884703e-01
3.059534239862279e-01	1.000000e+00	2.616742e-01
3.060534239862279e-01	1.000000e+00	2.362321e-01
3.061534239862279e-01	1.000000e+00	2.126480e-01
3.062534239862278e-01	1.000000e+00	1.913304e-01
3.063534239862278e-01	1.000000e+00	1.725792e-01
3.064534239862278e-01	1.000000e+00	1.565899e-01
3.065534239862278e-01	1.000000e+00	1.434482e-01
3.066534239862278e-01	1.000000e+00	1.331425e-01
3.067534239862278e-01	1.000000e+00	1.255643e-01
3.068534239862278e-01	1.000000e+00	1.205271e-01
3.069534239862278e-01	1.000000e+00	1.177711e-01
3.070534239862278e-01	1.000000e+00	1.169853e-01
3.071534239862277e-01	1.000000e+00	1.178148e-01
3.072534239862277e-01	1.000000e+00	1.198838e-01
3.073534239862277e-01	1.000000e+00	1.228028e-01
3.074534239862277e-01	1.000000e+00	1.261904e-01
3.075534239862277e-01	1.000000e+00	1.296786e-01
3.076534239862277e-01	1.000000e+00	1.329316e-01
3.077534239862277e-01	1.000000e+00	1.356478e-01
3.078534239862277e-01	1.000000e+00	1.375747e-01
3.079534239862277e-01	1.000000e+00	1.385066e-01
3.080534239862276e-01	1.000000e+00	1.382953e-01
3.081534239862276e-01	1.000000e+00	1.368435e-01
3.082534239862276e-01	1.000000e+00	1.341113e-01
3.083534239862276e-01	1.000000e+00	1.301062e-01
3.084534239862276e-01	1.000000e+00	1.248860e-01
3.085534239862276e-01	1.000000e+00	1.185460e-01
3.086534239862276e-01	1.000000e+00	1.112195e-01
3.087534239862276e-01	1.000000e+00	1.030636e-01
3.088534239862276e-01	1.000000e+00	9.425831e-02
3.089534239862275e-01	1.000000e+00	8.499227e-02
3.090534239862275e-01	1.000000e+00	7.546176e-02
3.091534239862275e-01	1.000000e+00	6.585676e-02
3.092534239862275e-01	1.000000e+00	5.636150e-02
