time	V(senoidal)	V(vout)
2.227540237438164e-02	9.872897e-01	-9.347524e-02
2.230629547728058e-02	9.380924e-01	-8.559012e-02
2.235593398965885e-02	7.865446e-01	-6.641921e-02
2.243268733393244e-02	4.104413e-01	-2.559451e-02
2.249758812920777e-02	1.515365e-02	1.390005e-02
2.256512135339839e-02	-3.978476e-01	5.228778e-02
2.262718699148980e-02	-7.167563e-01	7.947192e-02
2.269941053282931e-02	-9.499055e-01	9.570048e-02
2.274566426530722e-02	-9.996290e-01	9.593086e-02
2.276338815081291e-02	-9.964640e-01	9.380609e-02
2.278679025669139e-02	-9.734013e-01	8.917942e-02
2.282470093901123e-02	-8.918580e-01	7.757754e-02
2.288493248385426e-02	-6.616300e-01	5.049891e-02
2.295159288194459e-02	-2.994832e-01	1.235862e-02
2.301400569843226e-02	8.788686e-02	-2.560098e-02
2.307787248349902e-02	4.699969e-01	-6.048157e-02
2.314505276281276e-02	7.903582e-01	-8.682778e-02
2.322131726970778e-02	9.838045e-01	-9.834168e-02
2.325424176389856e-02	9.996449e-01	-9.651137e-02
2.327190662724954e-02	9.905421e-01	-9.379352e-02
2.330062754572815e-02	9.498307e-01	-8.690297e-02
2.334690400424000e-02	8.202972e-01	-7.000747e-02
2.341909775022821e-02	4.867137e-01	-3.298541e-02
2.348381630169438e-02	1.015100e-01	6.139637e-03
2.355266665601130e-02	-3.249079e-01	4.638315e-02
2.361565713208336e-02	-6.644033e-01	7.592601e-02
2.369573440026640e-02	-9.424338e-01	9.601057e-02
2.374417367572623e-02	-9.993300e-01	9.680268e-02
2.376283364562903e-02	-9.967507e-01	9.466445e-02
2.378588852730279e-02	-9.746837e-01	9.019585e-02
2.382324734168795e-02	-8.959519e-01	7.895115e-02
2.388266245768311e-02	-6.722572e-01	5.256848e-02
2.394943067981847e-02	-3.124171e-01	1.460721e-02
2.401178904279733e-02	7.400502e-02	-2.332394e-02
2.407578350633388e-02	4.583713e-01	-5.848926e-02
2.414210602180922e-02	7.788803e-01	-8.499937e-02
2.421133288338417e-02	9.706319e-01	-9.712626e-02
2.425038984497396e-02	9.999970e-01	-9.598007e-02
2.426563479155042e-02	9.951787e-01	-9.391867e-02
2.429044262815272e-02	9.678878e-01	-8.869341e-02
2.433058089443363e-02	8.745425e-01	-7.570139e-02
2.439407578056496e-02	6.174852e-01	-4.588514e-02
2.446033301859174e-02	2.466627e-01	-7.140728e-03
2.452267980147727e-02	-1.420196e-01	3.071258e-02
2.458604155673871e-02	-5.146634e-01	6.448787e-02
2.465630702405575e-02	-8.316686e-01	9.007940e-02
2.472683425284239e-02	-9.894256e-01	9.867648e-02
2.475633837971625e-02	-9.992071e-01	9.662931e-02
2.477531984848524e-02	-9.873720e-01	9.352875e-02
2.480616175576200e-02	-9.383831e-01	8.566935e-02
2.485572143767389e-02	-7.873687e-01	6.655507e-02
2.493236968359747e-02	-4.122605e-01	2.582121e-02
2.499724082306942e-02	-1.733555e-02	-1.365102e-02
2.506485077048382e-02	3.962872e-01	-5.210789e-02
2.512712275502227e-02	7.164748e-01	-7.940682e-02
2.519954552764214e-02	9.501702e-01	-9.567022e-02
2.524571867814918e-02	9.996382e-01	-9.588505e-02
2.526340838758512e-02	9.964533e-01	-9.376230e-02
2.528682316357367e-02	9.733539e-01	-8.913177e-02
2.532475397145251e-02	8.917072e-01	-7.751947e-02
2.538501523162195e-02	6.612401e-01	-5.041950e-02
2.545167956131245e-02	2.989635e-01	-1.227182e-02
2.551409251419567e-02	-8.843022e-02	2.568456e-02
2.557795371320837e-02	-4.704473e-01	6.055152e-02
2.564516770241676e-02	-7.908004e-01	8.688942e-02
2.572137511471495e-02	-9.838696e-01	9.836943e-02
2.575426385126023e-02	-9.996412e-01	9.653507e-02
