Freq.	V(vout)
1.33967668742593e+00	(-4.30543317946410e+01dB,1.70269451087066e+02°)
1.34276496113785e+00	(-4.30146131470899e+01dB,1.70247124348901e+02°)
1.34586035405594e+00	(-4.29748957889798e+01dB,1.70224746862492e+02°)
1.34896288259164e+00	(-4.29351797261776e+01dB,1.70202318515800e+02°)
1.35207256319427e+00	(-4.28954649645770e+01dB,1.70179839196556e+02°)
1.35518941235103e+00	(-4.28557515100975e+01dB,1.70157308792269e+02°)
1.35831344658714e+00	(-4.28160393686855e+01dB,1.70134727190225e+02°)
1.36144468246594e+00	(-4.27763285463140e+01dB,1.70112094277479e+02°)
1.36458313658891e+00	(-4.27366190489827e+01dB,1.70089409940866e+02°)
1.36772882559584e+00	(-4.26969108827182e+01dB,1.70066674066990e+02°)
1.37088176616484e+00	(-4.26572040535742e+01dB,1.70043886542234e+02°)
1.37404197501251e+00	(-4.26174985676314e+01dB,1.70021047252750e+02°)
1.37720946889394e+00	(-4.25777944309977e+01dB,1.69998156084465e+02°)
1.38038426460287e+00	(-4.25380916498084e+01dB,1.69975212923078e+02°)
1.38356637897177e+00	(-4.24983902302264e+01dB,1.69952217654063e+02°)
1.38675582887188e+00	(-4.24586901784420e+01dB,1.69929170162663e+02°)
1.38995263121334e+00	(-4.24189915006732e+01dB,1.69906070333896e+02°)
1.39315680294529e+00	(-4.23792942031661e+01dB,1.69882918052548e+02°)
1.39636836105593e+00	(-4.23395982921945e+01dB,1.69859713203182e+02°)
1.39958732257261e+00	(-4.22999037740602e+01dB,1.69836455670126e+02°)
1.40281370456195e+00	(-4.22602106550935e+01dB,1.69813145337484e+02°)
1.40604752412990e+00	(-4.22205189416527e+01dB,1.69789782089127e+02°)
1.40928879842186e+00	(-4.21808286401248e+01dB,1.69766365808700e+02°)
1.41253754462274e+00	(-4.21411397569251e+01dB,1.69742896379614e+02°)
1.41579377995707e+00	(-4.21014522984978e+01dB,1.69719373685052e+02°)
1.41905752168908e+00	(-4.20617662713158e+01dB,1.69695797607968e+02°)
1.42232878712281e+00	(-4.20220816818810e+01dB,1.69672168031082e+02°)
1.42560759360218e+00	(-4.19823985367243e+01dB,1.69648484836886e+02°)
1.42889395851109e+00	(-4.19427168424056e+01dB,1.69624747907638e+02°)
1.43218789927353e+00	(-4.19030366055146e+01dB,1.69600957125367e+02°)
1.43548943335364e+00	(-4.18633578326699e+01dB,1.69577112371869e+02°)
1.43879857825583e+00	(-4.18236805305200e+01dB,1.69553213528708e+02°)
1.44211535152486e+00	(-4.17840047057430e+01dB,1.69529260477216e+02°)
1.44543977074592e+00	(-4.17443303650467e+01dB,1.69505253098492e+02°)
1.44877185354475e+00	(-4.17046575151690e+01dB,1.69481191273401e+02°)
1.45211161758773e+00	(-4.16649861628779e+01dB,1.69457074882579e+02°)
1.45545908058195e+00	(-4.16253163149713e+01dB,1.69432903806423e+02°)
1.45881426027534e+00	(-4.15856479782779e+01dB,1.69408677925102e+02°)
1.46217717445671e+00	(-4.15459811596564e+01dB,1.69384397118546e+02°)
1.46554784095590e+00	(-4.15063158659964e+01dB,1.69360061266455e+02°)
1.46892627764385e+00	(-4.14666521042182e+01dB,1.69335670248292e+02°)
1.47231250243271e+00	(-4.14269898812728e+01dB,1.69311223943287e+02°)
1.47570653327588e+00	(-4.13873292041423e+01dB,1.69286722230433e+02°)
1.47910838816819e+00	(-4.13476700798400e+01dB,1.69262164988491e+02°)
1.48251808514594e+00	(-4.13080125154102e+01dB,1.69237552095985e+02°)
1.48593564228699e+00	(-4.12683565179289e+01dB,1.69212883431202e+02°)
1.48936107771090e+00	(-4.12287020945035e+01dB,1.69188158872195e+02°)
1.49279440957898e+00	(-4.11890492522729e+01dB,1.69163378296780e+02°)
1.49623565609442e+00	(-4.11493979984080e+01dB,1.69138541582537e+02°)
1.49968483550236e+00	(-4.11097483401117e+01dB,1.69113648606810e+02°)
1.50314196609001e+00	(-4.10701002846186e+01dB,1.69088699246705e+02°)
1.50660706618673e+00	(-4.10304538391960e+01dB,1.69063693379092e+02°)
1.51008015416413e+00	(-4.09908090111432e+01dB,1.69038630880603e+02°)
1.51356124843619e+00	(-4.09511658077921e+01dB,1.69013511627632e+02°)
1.51705036745932e+00	(-4.09115242365072e+01dB,1.68988335496336e+02°)
1.52054752973248e+00	(-4.08718843046858e+01dB,1.68963102362635e+02°)
1.52405275379728e+00	(-4.08322460197580e+01dB,1.68937812102208e+02°)
1.52756605823806e+00	(-4.07926093891871e+01dB,1.68912464590498e+02°)
1.53108746168201e+00	(-4.07529744204695e+01dB,1.68887059702708e+02°)
1.53461698279928e+00	(-4.07133411211348e+01dB,1.68861597313803e+02°)
1.53815464030302e+00	(-4.06737094987464e+01dB,1.68836077298507e+02°)
1.54170045294954e+00	(-4.06340795609010e+01dB,1.68810499531308e+02°)
1.54525443953840e+00	(-4.05944513152292e+01dB,1.68784863886452e+02°)
1.54881661891247e+00	(-4.05548247693953e+01dB,1.68759170237945e+02°)
1.55238700995807e+00	(-4.05151999310981e+01dB,1.68733418459553e+02°)
1.55596563160506e+00	(-4.04755768080701e+01dB,1.68707608424803e+02°)
1.55955250282694e+00	(-4.04359554080783e+01dB,1.68681740006981e+02°)
1.56314764264094e+00	(-4.03963357389244e+01dB,1.68655813079132e+02°)
1.56675107010813e+00	(-4.03567178084443e+01dB,1.68629827514060e+02°)
1.57036280433354e+00	(-4.03171016245091e+01dB,1.68603783184329e+02°)
1.57398286446620e+00	(-4.02774871950245e+01dB,1.68577679962260e+02°)
1.57761126969933e+00	(-4.02378745279315e+01dB,1.68551517719934e+02°)
1.58124803927037e+00	(-4.01982636312063e+01dB,1.68525296329190e+02°)
1.58489319246110e+00	(-4.01586545128601e+01dB,1.68499015661624e+02°)
1.58854674859776e+00	(-4.01190471809402e+01dB,1.68472675588591e+02°)
1.59220872705115e+00	(-4.00794416435291e+01dB,1.68446275981203e+02°)
1.59587914723672e+00	(-4.00398379087454e+01dB,1.68419816710331e+02°)
1.59955802861465e+00	(-4.00002359847436e+01dB,1.68393297646601e+02°)
1.60324539069002e+00	(-3.99606358797142e+01dB,1.68366718660398e+02°)
1.60694125301286e+00	(-3.99210376018842e+01dB,1.68340079621863e+02°)
1.61064563517825e+00	(-3.98814411595168e+01dB,1.68313380400894e+02°)
1.61435855682647e+00	(-3.98418465609119e+01dB,1.68286620867145e+02°)
1.61808003764305e+00	(-3.98022538144063e+01dB,1.68259800890028e+02°)
1.62181009735891e+00	(-3.97626629283733e+01dB,1.68232920338709e+02°)
1.62554875575047e+00	(-3.97230739112237e+01dB,1.68205979082111e+02°)
1.62929603263970e+00	(-3.96834867714052e+01dB,1.68178976988913e+02°)
1.63305194789432e+00	(-3.96439015174030e+01dB,1.68151913927549e+02°)
1.63681652142779e+00	(-3.96043181577397e+01dB,1.68124789766210e+02°)
1.64058977319952e+00	(-3.95647367009758e+01dB,1.68097604372841e+02°)
