time	V(escalon)	V(vout)
1.945899059772408e-03	1.000000e+00	1.133361e+00
1.992282333720498e-03	1.000000e+00	1.101837e+00
2.049547375147183e-03	1.000000e+00	1.059855e+00
2.097664731406222e-03	1.000000e+00	1.022310e+00
2.122004206468595e-03	1.000000e+00	1.002635e+00
2.131386074475218e-03	1.000000e+00	9.949426e-01
2.142894258036956e-03	1.000000e+00	9.854299e-01
2.161543038994080e-03	1.000000e+00	9.698477e-01
2.191205194451064e-03	1.000000e+00	9.446815e-01
2.235667796585370e-03	1.000000e+00	9.062343e-01
2.292359051976949e-03	1.000000e+00	8.563161e-01
2.342941166633753e-03	1.000000e+00	8.112997e-01
2.370043862001614e-03	1.000000e+00	7.871186e-01
2.380655882576160e-03	1.000000e+00	7.776558e-01
2.391706587245211e-03	1.000000e+00	7.678114e-01
2.409626705196034e-03	1.000000e+00	7.518775e-01
2.438203210905827e-03	1.000000e+00	7.265798e-01
2.481369593846573e-03	1.000000e+00	6.887457e-01
2.537505576747211e-03	1.000000e+00	6.405122e-01
2.589554312076503e-03	1.000000e+00	5.970753e-01
2.618596323760817e-03	1.000000e+00	5.734845e-01
2.630115531146209e-03	1.000000e+00	5.642709e-01
2.640827500908111e-03	1.000000e+00	5.557805e-01
2.658206775578344e-03	1.000000e+00	5.421714e-01
2.685970938203979e-03	1.000000e+00	5.208772e-01
2.728140448292466e-03	1.000000e+00	4.896591e-01
2.783765843931080e-03	1.000000e+00	4.507262e-01
2.836831910219606e-03	1.000000e+00	4.161522e-01
2.867404651493297e-03	1.000000e+00	3.974377e-01
2.879669707121633e-03	1.000000e+00	3.901864e-01
2.890102087025290e-03	1.000000e+00	3.841364e-01
2.907034152045632e-03	1.000000e+00	3.745506e-01
2.934122580253909e-03	1.000000e+00	3.598238e-01
2.975445983427798e-03	1.000000e+00	3.388276e-01
3.030584654627244e-03	1.000000e+00	3.136292e-01
3.084436995141897e-03	1.000000e+00	2.921715e-01
3.116334063734138e-03	1.000000e+00	2.809412e-01
3.129268276410236e-03	1.000000e+00	2.767012e-01
3.139448827861647e-03	1.000000e+00	2.734911e-01
3.155977494045573e-03	1.000000e+00	2.685173e-01
3.182453366630535e-03	1.000000e+00	2.611611e-01
3.222996975508396e-03	1.000000e+00	2.513413e-01
3.277645869797320e-03	1.000000e+00	2.408223e-01
3.332158782982540e-03	1.000000e+00	2.333533e-01
3.365295156271310e-03	1.000000e+00	2.302435e-01
3.378877785457108e-03	1.000000e+00	2.292726e-01
3.388813305760167e-03	1.000000e+00	2.286719e-01
3.404948941937895e-03	1.000000e+00	2.278906e-01
3.430825337880328e-03	1.000000e+00	2.271298e-01
3.470594385028183e-03	1.000000e+00	2.271030e-01
3.524719392194039e-03	1.000000e+00	2.291738e-01
3.579826405375945e-03	1.000000e+00	2.336032e-01
3.614209774447995e-03	1.000000e+00	2.374656e-01
3.628468717256166e-03	1.000000e+00	2.392988e-01
3.638147486483236e-03	1.000000e+00	2.406169e-01
3.653870765421249e-03	1.000000e+00	2.428813e-01
3.679115467930983e-03	1.000000e+00	2.468222e-01
3.718056480875342e-03	1.000000e+00	2.535895e-01
3.771581950714199e-03	1.000000e+00	2.641104e-01
3.827254365988560e-03	1.000000e+00	2.763354e-01
3.862986049431161e-03	1.000000e+00	2.847605e-01
3.878005994700642e-03	1.000000e+00	2.884169e-01
3.887394267734028e-03	1.000000e+00	2.907329e-01
3.902650368466380e-03	1.000000e+00	2.945425e-01
3.927176127939525e-03	1.000000e+00	3.007737e-01
3.965160434810961e-03	1.000000e+00	3.106375e-01
4.017944615787234e-03	1.000000e+00	3.246404e-01
4.074178752006632e-03	1.000000e+00	3.397315e-01
4.111483899262373e-03	1.000000e+00	3.497324e-01
4.127435542492065e-03	1.000000e+00	3.539857e-01
4.136465600072736e-03	1.000000e+00	3.563838e-01
4.151144749719422e-03	1.000000e+00	3.602641e-01
4.174778041193189e-03	1.000000e+00	3.664549e-01
4.211554363451292e-03	1.000000e+00	3.759157e-01
4.263331807115984e-03	1.000000e+00	3.887795e-01
4.320131768883439e-03	1.000000e+00	4.021215e-01
4.359439131733958e-03	1.000000e+00	4.107961e-01
4.376654123774649e-03	1.000000e+00	4.144344e-01
4.385193365552778e-03	1.000000e+00	4.162004e-01
4.399080545746241e-03	1.000000e+00	4.190156e-01
4.421480941361428e-03	1.000000e+00	4.234033e-01
4.456553246099577e-03	1.000000e+00	4.298749e-01
4.506784498876414e-03	1.000000e+00	4.382441e-01
4.564102892033598e-03	1.000000e+00	4.464156e-01
4.606238961108521e-03	1.000000e+00	4.514362e-01
4.625417973488489e-03	1.000000e+00	4.534347e-01
4.633180592769137e-03	1.000000e+00	4.541917e-01
4.645811562369186e-03	1.000000e+00	4.553588e-01
4.666239301144012e-03	1.000000e+00	4.570757e-01
4.698506395149270e-03	1.000000e+00	4.593537e-01
4.745898539683318e-03	1.000000e+00	4.617258e-01
4.803332143880974e-03	1.000000e+00	4.630362e-01
4.850017280960762e-03	1.000000e+00	4.628377e-01
4.872957803793194e-03	1.000000e+00	4.623269e-01
4.881740812673154e-03	1.000000e+00	4.620598e-01
4.893471126938530e-03	1.000000e+00	4.616415e-01
4.912472944067757e-03	1.000000e+00	4.608156e-01
4.942657320860582e-03	1.000000e+00	4.591304e-01
4.987728170105973e-03	1.000000e+00	4.557775e-01
5.044634811097945e-03	1.000000e+00	4.501573e-01
5.144634811097945e-03	1.000000e+00	4.367836e-01
5.244634811097946e-03	1.000000e+00	4.193689e-01
5.344634811097946e-03	1.000000e+00	3.985230e-01
5.444634811097946e-03	1.000000e+00	3.749329e-01
5.544634811097946e-03	1.000000e+00	3.493324e-01
5.644634811097947e-03	1.000000e+00	3.224733e-01
5.744634811097947e-03	1.000000e+00	2.950979e-01
5.844634811097947e-03	1.000000e+00	2.679138e-01
5.944634811097947e-03	1.000000e+00	2.415723e-01
6.044634811097948e-03	1.000000e+00	2.166497e-01
6.144634811097948e-03	1.000000e+00	1.936335e-01
6.244634811097948e-03	1.000000e+00	1.729118e-01
6.344634811097948e-03	1.000000e+00	1.547680e-01
6.444634811097949e-03	1.000000e+00	1.393787e-01
6.544634811097949e-03	1.000000e+00	1.268156e-01
6.644634811097949e-03	1.000000e+00	1.170515e-01
6.744634811097949e-03	1.000000e+00	1.099686e-01
6.844634811097950e-03	1.000000e+00	1.053692e-01
6.944634811097950e-03	1.000000e+00	1.029891e-01
7.044634811097950e-03	1.000000e+00	1.025118e-01
7.144634811097950e-03	1.000000e+00	1.035831e-01
7.244634811097951e-03	1.000000e+00	1.058265e-01
7.344634811097951e-03	1.000000e+00	1.088577e-01
7.444634811097951e-03	1.000000e+00	1.122988e-01
7.544634811097952e-03	1.000000e+00	1.157906e-01
7.644634811097952e-03	1.000000e+00	1.190034e-01
7.744634811097952e-03	1.000000e+00	1.216463e-01
7.844634811097952e-03	1.000000e+00	1.234744e-01
7.944634811097952e-03	1.000000e+00	1.242933e-01
8.044634811097951e-03	1.000000e+00	1.239621e-01
8.144634811097951e-03	1.000000e+00	1.223940e-01
8.244634811097950e-03	1.000000e+00	1.195552e-01
8.344634811097949e-03	1.000000e+00	1.154619e-01
8.444634811097949e-03	1.000000e+00	1.101758e-01
8.544634811097948e-03	1.000000e+00	1.037983e-01
8.644634811097947e-03	1.000000e+00	9.646419e-02
8.744634811097947e-03	1.000000e+00	8.833400e-02
8.844634811097946e-03	1.000000e+00	7.958662e-02
8.944634811097946e-03	1.000000e+00	7.041156e-02
9.044634811097945e-03	1.000000e+00	6.100159e-02
9.144634811097944e-03	1.000000e+00	5.154567e-02
9.244634811097944e-03	1.000000e+00	4.222275e-02
9.344634811097943e-03	1.000000e+00	3.319624e-02
9.444634811097943e-03	1.000000e+00	2.460954e-02
9.544634811097942e-03	1.000000e+00	1.658253e-02
9.644634811097941e-03	1.000000e+00	9.209270e-03
9.744634811097941e-03	1.000000e+00	2.556601e-03
9.844634811097940e-03	1.000000e+00	-3.336037e-03
9.944634811097940e-03	1.000000e+00	-8.455943e-03
1.004463481109794e-02	1.000000e+00	-1.281554e-02
1.014463481109794e-02	1.000000e+00	-1.645007e-02
1.024463481109794e-02	1.000000e+00	-1.941462e-02
1.034463481109794e-02	1.000000e+00	-2.178077e-02
1.044463481109794e-02	1.000000e+00	-2.363281e-02
1.054463481109794e-02	1.000000e+00	-2.506395e-02
1.064463481109794e-02	1.000000e+00	-2.617237e-02
1.074463481109793e-02	1.000000e+00	-2.705753e-02
1.084463481109793e-02	1.000000e+00	-2.781662e-02
1.094463481109793e-02	1.000000e+00	-2.854143e-02
1.104463481109793e-02	1.000000e+00	-2.931560e-02
1.114463481109793e-02	1.000000e+00	-3.021241e-02
1.124463481109793e-02	1.000000e+00	-3.129305e-02
1.134463481109793e-02	1.000000e+00	-3.260548e-02
1.144463481109793e-02	1.000000e+00	-3.418383e-02
1.154463481109793e-02	1.000000e+00	-3.604830e-02
1.164463481109793e-02	1.000000e+00	-3.820556e-02
1.174463481109793e-02	1.000000e+00	-4.064964e-02
1.184463481109793e-02	1.000000e+00	-4.336308e-02
1.194463481109793e-02	1.000000e+00	-4.631850e-02
1.204463481109793e-02	1.000000e+00	-4.948032e-02
1.214463481109793e-02	1.000000e+00	-5.280668e-02
1.224463481109793e-02	1.000000e+00	-5.625136e-02
1.234463481109793e-02	1.000000e+00	-5.976579e-02
1.244463481109792e-02	1.000000e+00	-6.330091e-02
1.254463481109792e-02	1.000000e+00	-6.680896e-02
1.264463481109792e-02	1.000000e+00	-7.024504e-02
1.274463481109792e-02	1.000000e+00	-7.356852e-02
1.284463481109792e-02	1.000000e+00	-7.674404e-02
1.294463481109792e-02	1.000000e+00	-7.974249e-02
1.304463481109792e-02	1.000000e+00	-8.254145e-02
1.314463481109792e-02	1.000000e+00	-8.512554e-02
1.324463481109792e-02	1.000000e+00	-8.748642e-02
1.334463481109792e-02	1.000000e+00	-8.962255e-02
1.344463481109792e-02	1.000000e+00	-9.153873e-02
1.354463481109792e-02	1.000000e+00	-9.324553e-02
1.364463481109792e-02	1.000000e+00	-9.475843e-02
1.374463481109792e-02	1.000000e+00	-9.609697e-02
1.384463481109792e-02	1.000000e+00	-9.728378e-02
1.404463481109791e-02	1.000000e+00	-9.930214e-02
1.414463481109791e-02	1.000000e+00	-1.001854e-01
1.424463481109791e-02	1.000000e+00	-1.010186e-01
1.434463481109791e-02	1.000000e+00	-1.018253e-01
1.444463481109791e-02	1.000000e+00	-1.026270e-01
1.454463481109791e-02	1.000000e+00	-1.034424e-01
1.464463481109791e-02	1.000000e+00	-1.042868e-01
1.474463481109791e-02	1.000000e+00	-1.051723e-01
1.484463481109791e-02	1.000000e+00	-1.061074e-01
1.494463481109791e-02	1.000000e+00	-1.070968e-01
1.504463481109791e-02	1.000000e+00	-1.081421e-01
1.514463481109791e-02	1.000000e+00	-1.092414e-01
1.524463481109791e-02	1.000000e+00	-1.103901e-01
1.534463481109791e-02	1.000000e+00	-1.115808e-01
1.544463481109791e-02	1.000000e+00	-1.128046e-01
1.554463481109791e-02	1.000000e+00	-1.140507e-01
1.574463481109790e-02	1.000000e+00	-1.165621e-01
1.584463481109790e-02	1.000000e+00	-1.178030e-01
1.594463481109790e-02	1.000000e+00	-1.190180e-01
1.604463481109790e-02	1.000000e+00	-1.201960e-01
1.614463481109790e-02	1.000000e+00	-1.213272e-01
1.624463481109790e-02	1.000000e+00	-1.224030e-01
1.634463481109790e-02	1.000000e+00	-1.234165e-01
1.644463481109790e-02	1.000000e+00	-1.243626e-01
1.654463481109790e-02	1.000000e+00	-1.252381e-01
1.664463481109790e-02	1.000000e+00	-1.260412e-01
1.674463481109790e-02	1.000000e+00	-1.267723e-01
1.684463481109790e-02	1.000000e+00	-1.274332e-01
1.694463481109790e-02	1.000000e+00	-1.280270e-01
1.704463481109790e-02	1.000000e+00	-1.285583e-01
1.714463481109790e-02	1.000000e+00	-1.290325e-01
1.744463481109789e-02	1.000000e+00	-1.301766e-01
1.754463481109789e-02	1.000000e+00	-1.304880e-01
1.764463481109789e-02	1.000000e+00	-1.307755e-01
1.774463481109789e-02	1.000000e+00	-1.310456e-01
1.784463481109789e-02	1.000000e+00	-1.313037e-01
1.794463481109789e-02	1.000000e+00	-1.315548e-01
1.804463481109789e-02	1.000000e+00	-1.318028e-01
1.814463481109789e-02	1.000000e+00	-1.320509e-01
1.824463481109789e-02	1.000000e+00	-1.323014e-01
1.834463481109789e-02	1.000000e+00	-1.325555e-01
1.844463481109789e-02	1.000000e+00	-1.328135e-01
1.854463481109789e-02	1.000000e+00	-1.330752e-01
1.864463481109789e-02	1.000000e+00	-1.333394e-01
1.874463481109789e-02	1.000000e+00	-1.336042e-01
1.884463481109789e-02	1.000000e+00	-1.338675e-01
1.904463481109788e-02	1.000000e+00	-1.343788e-01
1.924463481109788e-02	1.000000e+00	-1.348500e-01
1.934463481109788e-02	1.000000e+00	-1.350634e-01
